Adsorbent,Pyrolysis temperature ,Pyrolysis time,C,H,O,N,(O+N)/C,Ash,H/C,O/C,N/C,Surface area,Pore volume,Average pore size,Pollutant,Adsorption time,Initial concentration,Solution pH,RPM,Volume,Adsorbent dosage,Adsorption temperature,Ion concentration,Humic acid,Wastewater type,Adsorption type,_condition_signature,n_replicates,Capacity,capacity_mean,capacity_std,capacity_min,capacity_max,capacity_spread,Final concentration
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,CBZ,720,3.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,4312049738884130310,3,15.66854234,15.847177566666668,0.5577883164883888,15.4005895,16.47240086,1.0718113599999999,1.11977492
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,CBZ,720,5.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,5854617717337756324,3,20.61227224,20.3443194,0.8366824747325816,19.40648446,21.0142015,1.6077170399999972,2.526527331
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,CBZ,720,7.0,7,150,0.025,0.12,25,0.0,0,Synthetic,Single,6751492380456087949,3,25.35503751,25.042425863333335,0.9119586385222871,24.01527331,25.75696677,1.741693459999997,3.957395498
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,720,1.0,7,150,0.025,0.12,15,0.0,0,Synthetic,Single,9782494289855406605,3,3.754664179,2.225849917,2.7837128512705105,-0.987251244,3.910136816,4.89738806,0.549440299
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,720,1.0,7,150,0.025,0.12,35,0.0,0,Synthetic,Single,8735380676737306261,2,3.4906022245,3.4906022245,0.1356169507228938,3.394706559,3.58649789,0.19179133100000012,0.581127733
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,IBF,720,1.0,7,150,0.025,0.12,45,0.0,0,Synthetic,Single,14417663452655608841,2,3.4426543919999997,3.4426543919999997,0.06780847571500032,3.394706559,3.490602225,0.0958956660000001,0.586881473
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,720,1.0,7,150,0.025,0.12,15,0.0,0,Synthetic,Single,969838696704097738,3,4.355425056,4.355425056,0.20973154399999983,4.145693512,4.5651566,0.41946308799999965,0.477348993
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,720,1.0,7,150,0.025,0.12,35,0.0,0,Synthetic,Single,8961801212487542066,3,4.452153802,4.596704249999999,0.3824445373109741,4.307603354,5.030355594,0.7227522400000002,0.465741544
PB600,600,120,78.79,2.12,3.38,1.99,0.068155857,19.09,0.32,0.042898845,0.025257012,408.7,0.336,4.63,CBZ,720,1.0,7,150,0.025,0.12,45,0.0,0,Synthetic,Single,4230070745459176222,3,4.005872483,3.7262304250000002,0.5460185736642217,3.097035794,4.075782998,0.9787472040000003,0.519295302
PB800,800,120,75.05,2.25,3.52,2.77,0.083810793,24.95,0.029980013,0.046902065,0.036908728,472.92,0.658,6.25,IBF,720,1.0,7,150,0.025,0.12,15,0.0,0,Synthetic,Single,16981588077118001944,3,5.887993863,5.728167753666667,0.3630551299132575,5.31261987,5.983889528,0.6712696579999999,0.293440736
