Adsorbent,Pyrolysis temperature ,Pyrolysis time,C,H,O,N,(O+N)/C,Ash,H/C,O/C,N/C,Surface area,Pore volume,Average pore size,Pollutant,Adsorption time,Initial concentration,Solution pH,RPM,Volume,Adsorbent dosage,Adsorption temperature,Ion concentration,Humic acid,Wastewater type,Adsorption type,_condition_signature,n_replicates,Capacity,capacity_mean,capacity_std,capacity_min,capacity_max,capacity_spread,Final concentration,_cross_domain_signature
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,1443,7.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,10424722174915605395,1,11.36644534,11.36644534,0.0,11.36644534,11.36644534,0.0,6.431677733,5664710372040412004
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,1444,10.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,10201040771566695109,1,15.5423278,15.5423278,0.0,15.5423278,15.5423278,0.0,9.22288361,14444767371463548510
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,1445,1.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,13795006698287854458,1,0.542622455,0.542622455,0.0,0.542622455,0.542622455,0.0,0.972868877,3874883833811040991
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,1446,3.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,15991242187537347155,1,4.47511756,4.47511756,0.0,4.47511756,4.47511756,0.0,2.776244122,10944332932815698236
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,1447,5.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,5300177448612401242,1,7.785965408,7.785965408,0.0,7.785965408,7.785965408,0.0,4.61070173,9674880675314043927
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,1448,7.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,13011635884408028318,1,11.11294274,11.11294274,0.0,11.11294274,11.11294274,0.0,6.444352863,9129932409667025115
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,1449,10.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,482394137443692837,1,15.84269309,15.84269309,0.0,15.84269309,15.84269309,0.0,9.207865345,17640766424735666302
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,1450,1.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,11286042402943410773,1,0.676437466,0.676437466,0.0,0.676437466,0.676437466,0.0,0.966178127,4966413671079156510
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,1451,3.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,6983919466467850169,1,4.293002886,4.293002886,0.0,4.293002886,4.293002886,0.0,2.785349856,4670003115466949858
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,1452,5.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,14198828627270019372,1,8.138376153,8.138376153,0.0,8.138376153,8.138376153,0.0,4.593081192,8478866242794087545
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,1453,7.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,13815137717855114315,1,10.96642112,10.96642112,0.0,10.96642112,10.96642112,0.0,6.451678944,401299748537879660
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,1454,10.0,7,150,0.05,0.05,25,0.0,0,Ground water,Single,3258369349917870607,1,15.67648187,15.67648187,0.0,15.67648187,15.67648187,0.0,9.216175907,11903703796587238144
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,1440,1.0,7,150,0.05,0.05,35,0.0,0,Ground water,Single,5202510071170023157,1,1.03302993,1.03302993,0.0,1.03302993,1.03302993,0.0,0.948348504,11129661155083527294
MCB,700,90,68.9,1.8,5.7,2.6,0.120464441,21.0,0.313,0.062,0.032,678.1,0.191,2.0,IBU,1441,3.0,7,150,0.05,0.05,35,0.0,0,Ground water,Single,6298265626084442018,1,5.078730146,5.078730146,0.0,5.078730146,5.078730146,0.0,2.746063493,1649012201546367999
