Adsorbent,Pyrolysis temperature ,Pyrolysis time,C,H,O,N,(O+N)/C,Ash,H/C,O/C,N/C,Surface area,Pore volume,Average pore size,Pollutant,Adsorption time,Initial concentration,Solution pH,RPM,Volume,Adsorbent dosage,Adsorption temperature,Ion concentration,Humic acid,Wastewater type,Adsorption type,_condition_signature,n_replicates,Capacity,capacity_mean,capacity_std,capacity_min,capacity_max,capacity_spread,Final concentration,_cross_domain_signature
Pristine SCW Biochar,800,120,86.9,0.8,1.9,2.2,0.047180667,7.9,0.11,0.027,0.032,62.0,0.032,7.8,IBU,1440,30.0,7,160,0.05,0.15,35,0.0,0,Secondary effluent,Single,870809365627718684,3,21.2613338,21.61935633,0.6801821463086368,21.19296471,22.40377048,1.2108057700000003,26.81079993,5097594193064702360
NaOH-activated SCW biochars,800,120,89.7,0.3,2.4,0.0,0.026755853,7.4,0.04,0.023,0.0,655.4,0.456,8.5,NXP,0,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,11463466362237138402,1,0.0,0.0,0.0,0.0,0.0,0.0,30.0,5985184933789745512
NaOH-activated SCW biochars,800,120,89.7,0.3,2.4,0.0,0.026755853,7.4,0.04,0.023,0.0,655.4,0.456,8.5,NXP,30,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,12429355053059418026,3,90.16372742,89.56054067666666,8.062833961852544,81.21305296,97.30484165,16.09178869,16.47544089,7823299531643114528
NaOH-activated SCW biochars,800,120,89.7,0.3,2.4,0.0,0.026755853,7.4,0.04,0.023,0.0,655.4,0.456,8.5,NXP,60,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,14609237521165358149,3,104.2284102,103.71509420000001,1.8535906460244098,101.6589423,105.2579301,3.598987799999989,14.36573847,12956884679836284245
NaOH-activated SCW biochars,800,120,89.7,0.3,2.4,0.0,0.026755853,7.4,0.04,0.023,0.0,655.4,0.456,8.5,NXP,120,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,446328556523201111,3,130.9519993,131.08809603333336,0.6002737990460835,130.5675555,131.7447333,1.1771778000000097,10.35720011,1729827708451294951
NaOH-activated SCW biochars,800,120,89.7,0.3,2.4,0.0,0.026755853,7.4,0.04,0.023,0.0,655.4,0.456,8.5,NXP,240,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,1551655804826946544,3,153.5606127,150.12964639999998,11.120131978231301,137.6983484,159.1299781,21.431629700000002,6.965908089,14661902647192091926
NaOH-activated SCW biochars,800,120,89.7,0.3,2.4,0.0,0.026755853,7.4,0.04,0.023,0.0,655.4,0.456,8.5,NXP,480,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,12674212456835948851,3,166.7371919,166.4701997,0.7271545728605638,165.6472907,167.0261165,1.3788257999999871,4.989421214,16203560152261460499
NaOH-activated SCW biochars,800,120,89.7,0.3,2.4,0.0,0.026755853,7.4,0.04,0.023,0.0,655.4,0.456,8.5,NXP,720,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,12588539707960640012,3,174.3891721,174.3072982,4.803187929016779,169.4636967,179.0690258,9.605329099999977,3.841624192,10536500576727325938
NaOH-activated SCW biochars,800,120,89.7,0.3,2.4,0.0,0.026755853,7.4,0.04,0.023,0.0,655.4,0.456,8.5,NXP,960,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,3988610212697559040,3,174.0987509,174.25259486666667,0.2882393990424688,174.0739176,174.5851161,0.5111985000000061,3.885187372,10188785374959780006
NaOH-activated SCW biochars,800,120,89.7,0.3,2.4,0.0,0.026755853,7.4,0.04,0.023,0.0,655.4,0.456,8.5,NXP,1440,30.0,7,160,0.05,0.15,25,0.0,0,Secondary effluent,Single,10547200906881874672,6,179.92426765,179.86894148333332,6.010461319128573,174.0997342,185.4803703,11.380636100000004,3.0113598484999997,16190478640575387670
