_input_signature,n_rows,target_unique,target_min,target_max,target_spread
2870718948475246841,1,1,87.27229207,87.27229207,0.0
2892051548520492425,3,3,81.07539783,83.48408389,2.4086860599999937
2925648367909055584,1,1,45.27717986,45.27717986,0.0
2927233624632432593,2,2,243.1111111,256.4444444,13.333333300000021
2933139064934329804,3,3,12.36202461,14.1277375,1.7657128899999996
2940048913095698858,3,3,17.86408069,18.24303648,0.3789557899999991
2953754821836637274,3,3,18.75769655,19.04592536,0.28822880999999967
2959221655209890065,3,3,5.778767683,7.011052739,1.2322850560000003
3016108467998859332,3,3,92.93395168,100.7224628,7.7885111199999955
3044970565392297777,3,1,0.0,0.0,0.0
3049006844620542258,3,3,70.07074155,82.94139049,12.87064894000001
3064529035676864285,3,3,12.29775635,12.70842075,0.41066439999999993
3081341714813847843,3,3,377.9008665,382.2687513,4.367884800000013
3084970582318850517,2,2,200.0,204.4444444,4.444444400000009
3099091790055441418,3,3,64.28113937,64.28994126,0.008801890000000867
3099453566957061241,3,3,28.7036564,33.19975597,4.496099569999998
3170997665547060262,3,3,22.18234085,23.35669831,1.1743574599999995
3172057053019983738,3,3,2.21054835,8.238276317,6.027727967000001
3186179037262043716,1,1,53.48944369,53.48944369,0.0
3195573885445634352,3,3,7.799525504,8.392645314,0.5931198099999992
3225294276886561451,3,3,7.219264164,7.540077729,0.3208135649999999
3232850516614781629,3,3,9.734565783,9.783705019,0.049139235999998476
3239608308610899565,3,3,4.635608856,5.0199877,0.38437884399999955
3245412152268164162,3,3,8.735479608,9.980159577,1.2446799689999999
3249913649156960858,3,3,80.48293555,84.01079555,3.527860000000004
3258369349917870607,1,1,15.67648187,15.67648187,0.0
3265139063472826695,3,3,178.7973362,179.2133754,0.41603920000000016
3280576637481085735,3,3,47.76470588,53.95005352,6.185347639999996
3317296554946118451,1,1,74.51919699,74.51919699,0.0
3328137634557139998,3,3,21.26129057,54.39457417,33.1332836
3333735626161020245,3,3,54.33332886,60.65525715,6.321928289999995
3362966868846917119,3,1,93.33333333,93.33333333,0.0
3372112137638680762,3,1,25.33333333,25.33333333,0.0
3377592302538614016,3,1,53.33333333,53.33333333,0.0
3396071663462261947,3,3,73.28729951,74.77360153,1.4863020199999966
3411004748564776420,1,1,3.154317254,3.154317254,0.0
3419474445918775103,2,2,337.1031746,340.8068783,3.7037037000000055
3423130241474166334,1,1,0.971597486,0.971597486,0.0
3433976993469835110,1,1,10.51607903,10.51607903,0.0
3442321568192161606,3,3,16.55979428,18.1102852,1.5504909200000014
3471020195896376932,2,2,186.6666667,191.1111111,4.4444443999999805
3476837075250042538,3,3,34.91330634,37.34024679,2.4269404500000036
3525148225901049574,3,3,6.599643231,6.83101957,0.23137633899999965
3540536502839737235,3,3,224.3642559,229.5904756,5.2262197000000015
3543312481866610080,1,1,43.12425249,43.12425249,0.0
3555680831320761087,3,3,7.019927536,8.152173913,1.1322463770000004
3567363772643946095,3,3,51.27412063,51.40034732,0.12622669000000286
3581469070947697807,3,3,7.90951861,8.099509677,0.18999106700000024
3597310176462258357,1,1,0.583543563,0.583543563,0.0
3607375108955822964,3,3,11.81844252,12.98598251,1.1675399899999999
3610423474978396313,1,1,0.756970452,0.756970452,0.0
3619321008973724267,3,3,15.32748561,18.18831779,2.860832179999999
3625776065687735235,3,3,76.01534144,77.5479481,1.532606659999999
3626679836655073239,3,3,30.20277913,33.10328715,2.90050802
3639308252509468722,1,1,92.86366991,92.86366991,0.0
3641806862773358511,1,1,18.34161523,18.34161523,0.0
3654120116730440945,1,1,6.294471812,6.294471812,0.0
3656096480025640062,3,3,12.98038465,13.56097592,0.5805912700000011
